x;Hombre;Mujer
Total;2087.30068004289;1968.40794759193
Ninguno;1196.24026587177;758.366366119657
Preprimaria;2139.09716908952;1321.07081174439
Primaria;1518.55645901561;1144.49680356451
Básico;1906.16555912007;1637.16227914006
Diversificado;2814.66118833369;2705.86750745561
Superior;5652.2802857414;3694.79768358562
Maestría;6059.49478574137;4838.39138429209
