x;y
Directores y gerentes;6.92732624561498
Profesionales científicos e intelectuales;2.9901969501058
Técnicos y profesionales de nivel medio;11.5572306403781
Personal de apoyo administrativo;7.54574598468265
Trabajadores de los servicios y vendedores de comercios y mercados;53.9895967670209
Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros;86.136046327719
 Oficiales, operarios y artesanos de artes mecanicas y de otros oficios;62.702478737283
 Operadores de instalaciones y máquinas y ensambladores;51.2924758063477
 Ocupaciones elementales;81.8910442401511
