"x","Hombre","Mujer"
"Xinka","74.0219211447709","47.4791824375473"
"Garífuna","100","73.8284066330209"
"Ladino","90.1604875907559","83.7490372238025"
"Extranjero","100","92.4963542357152"
"Maya","80.1782796071068","62.6701201905743"
